Epoch,Loss,Val_HR_10,Val_NDCG_10
1,6.6379,0.2496,0.1471
2,5.6702,0.2954,0.1754
3,5.4694,0.3114,0.1856
4,5.3634,0.3247,0.1935
5,5.292,0.3357,0.1993
6,5.2382,0.3409,0.2073
7,5.1952,0.3337,0.2016
8,5.1584,0.3483,0.2107
9,5.1275,0.3482,0.2134
10,5.1001,0.3507,0.2131
11,5.0756,0.3454,0.2111
12,5.0536,0.3501,0.2168
13,5.0333,0.3571,0.2187
14,5.0146,0.3542,0.2178
15,4.9971,0.3653,0.2257
16,4.9808,0.3651,0.2232
17,4.9659,0.365,0.2255
18,4.9516,0.3669,0.2263
19,4.9385,0.3649,0.2242
20,4.9259,0.3605,0.2197
21,4.9141,0.3731,0.2293
22,4.9027,0.3669,0.2249
23,4.8924,0.3684,0.225
24,4.8826,0.3624,0.2231
25,4.8724,0.3735,0.229
26,4.863,0.359,0.219
27,4.8544,0.362,0.219
28,4.8456,0.3583,0.2203
29,4.8379,0.3581,0.2194
30,4.8297,0.3705,0.2283
31,4.8225,0.372,0.2295
32,4.8158,0.3613,0.223
33,4.8088,0.364,0.2252
34,4.8022,0.3632,0.2232
35,4.7956,0.3661,0.2221
36,4.7891,0.3699,0.2271
37,4.7834,0.3616,0.2229
38,4.7775,0.3668,0.2261
39,4.7723,0.3633,0.2221
40,4.7663,0.372,0.2251
41,4.7608,0.3648,0.2242
