Epoch,Loss,Val_HR_10,Val_NDCG_10
1,6.7809,0.228,0.1339
2,5.8665,0.2666,0.1548
3,5.6879,0.2821,0.1654
4,5.5916,0.2891,0.1682
5,5.5279,0.3078,0.1811
6,5.4808,0.3087,0.1849
7,5.4445,0.306,0.1818
8,5.4134,0.3235,0.1908
9,5.3883,0.3167,0.1906
10,5.3664,0.3235,0.193
11,5.3469,0.3219,0.1906
12,5.3299,0.326,0.1948
13,5.3139,0.3269,0.1949
14,5.2999,0.3301,0.196
15,5.2871,0.3361,0.2024
16,5.275,0.3344,0.2003
17,5.2635,0.3351,0.2024
18,5.2536,0.3411,0.2043
19,5.2433,0.3339,0.199
20,5.2343,0.3286,0.1983
21,5.2256,0.3412,0.2073
22,5.2173,0.3358,0.203
23,5.2096,0.3369,0.2021
24,5.2021,0.3314,0.1992
25,5.1953,0.3404,0.2074
26,5.1889,0.3261,0.1963
27,5.1821,0.3337,0.1997
28,5.1762,0.331,0.2002
29,5.1702,0.3333,0.2027
30,5.1644,0.3402,0.2057
31,5.1597,0.3409,0.2075
32,5.154,0.3335,0.2028
33,5.1491,0.3369,0.2044
34,5.1445,0.3369,0.2055
35,5.14,0.3307,0.2027
36,5.1359,0.3392,0.2045
37,5.1317,0.3333,0.2008
38,5.1274,0.3398,0.2042
39,5.1238,0.3356,0.2021
40,5.1196,0.3401,0.2058
41,5.1157,0.3417,0.2066
