Epoch,Loss,Val_HR_10,Val_NDCG_10
1,6.8048,0.2384,0.1395
2,5.9006,0.2733,0.1591
3,5.7283,0.2827,0.1674
4,5.6376,0.2966,0.1751
5,5.5777,0.308,0.1808
6,5.5339,0.3164,0.1881
7,5.4991,0.3122,0.1838
8,5.4702,0.3256,0.1932
9,5.4462,0.3224,0.1928
10,5.4254,0.3251,0.1935
11,5.4064,0.321,0.1914
12,5.3906,0.3243,0.1959
13,5.3753,0.333,0.1997
14,5.3623,0.3313,0.1982
15,5.3495,0.3438,0.2061
16,5.3389,0.3394,0.2014
17,5.3279,0.3447,0.2046
18,5.3182,0.3475,0.207
19,5.3084,0.3442,0.2055
20,5.2999,0.3368,0.2068
21,5.2927,0.3461,0.209
22,5.2852,0.3425,0.2041
23,5.2778,0.3427,0.2064
24,5.2712,0.3353,0.2014
25,5.2644,0.3461,0.2093
26,5.2588,0.3358,0.2008
27,5.2518,0.3465,0.2061
28,5.2465,0.3382,0.205
29,5.2415,0.3358,0.2046
30,5.2368,0.3437,0.2066
31,5.2315,0.3494,0.2105
32,5.2273,0.3435,0.2084
33,5.2222,0.3439,0.2074
34,5.2178,0.3446,0.2093
35,5.2137,0.3428,0.2056
36,5.2104,0.3415,0.2076
37,5.2059,0.3392,0.2053
38,5.2024,0.3454,0.2069
39,5.1989,0.3383,0.2044
40,5.1953,0.3502,0.2093
41,5.192,0.3433,0.2077
