Epoch,Loss,Val_HR_10,Val_NDCG_10
1,6.7302,0.231,0.138
2,5.8054,0.2905,0.173
3,5.5716,0.3108,0.1879
4,5.4497,0.3275,0.1956
5,5.3688,0.3325,0.2021
6,5.3073,0.3425,0.2105
7,5.2566,0.3407,0.2078
8,5.2136,0.3507,0.2138
9,5.1759,0.356,0.2195
10,5.1419,0.361,0.22
11,5.1114,0.3562,0.218
12,5.0841,0.3614,0.2213
13,5.0587,0.3654,0.225
14,5.0355,0.3654,0.2251
15,5.0139,0.3803,0.2342
16,4.9945,0.3794,0.2312
17,4.9759,0.3796,0.2351
18,4.9584,0.3769,0.233
19,4.9422,0.3723,0.2294
20,4.9271,0.3707,0.2295
21,4.9122,0.3875,0.24
22,4.8982,0.3777,0.2333
23,4.8854,0.3766,0.2306
24,4.873,0.3738,0.231
25,4.8613,0.3852,0.2387
26,4.8493,0.3733,0.2322
27,4.8394,0.3739,0.231
28,4.8284,0.372,0.2315
29,4.8179,0.3711,0.2288
30,4.8091,0.382,0.2394
31,4.8002,0.3861,0.2399
