Epoch,Loss,Val_HR_10,Val_NDCG_10
1,4.9656,0.3662,0.2247
2,4.9286,0.3728,0.2318
3,4.9034,0.374,0.2313
4,4.8796,0.368,0.2237
5,4.8588,0.3763,0.2281
6,4.8388,0.3785,0.2356
7,4.8202,0.3722,0.2308
8,4.8029,0.3792,0.2361
9,4.7859,0.3762,0.2323
10,4.7703,0.3809,0.2362
11,4.7558,0.3757,0.231
12,4.7417,0.3735,0.2303
13,4.7282,0.3807,0.2374
14,4.7159,0.3781,0.2333
15,4.7031,0.3894,0.2438
16,4.6909,0.389,0.238
17,4.6801,0.3848,0.2398
18,4.6687,0.3837,0.2382
19,4.6585,0.3787,0.2349
20,4.6482,0.3806,0.2345
21,4.6378,0.3898,0.2427
22,4.6281,0.388,0.2395
23,4.6187,0.386,0.2364
24,4.6098,0.379,0.2356
25,4.6015,0.3868,0.2417
